0:0:0:0:0:0:0:1 - - [10/Apr/2023:21:38:04 +0900] "GET /deotsemproject/images/%EB%A9%94%EC%9D%B8_%EC%9D%B8%EC%8A%A4%ED%83%80/%EC%9D%B8%EC%8A%A4%ED%83%807.jpg HTTP/1.1" 200 590014
0:0:0:0:0:0:0:1 - - [10/Apr/2023:21:38:04 +0900] "GET /deotsemproject/images/%EB%A9%94%EC%9D%B8_%EC%9D%B8%EC%8A%A4%ED%83%80/%EC%9D%B8%EC%8A%A4%ED%83%808.jpg HTTP/1.1" 200 737117
0:0:0:0:0:0:0:1 - - [10/Apr/2023:21:38:04 +0900] "GET /deotsemproject/images/logoimg.png HTTP/1.1" 200 191334
0:0:0:0:0:0:0:1 - - [10/Apr/2023:21:38:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Apr/2023:21:38:40 +0900] "GET /deotsemproject/sub_product.html HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Apr/2023:21:38:45 +0900] "GET /deotsemproject/ring.jsp?category=RING HTTP/1.1" 200 14630
0:0:0:0:0:0:0:1 - - [10/Apr/2023:21:38:45 +0900] "GET /deotsemproject/css/common.css HTTP/1.1" 200 73503
0:0:0:0:0:0:0:1 - - [10/Apr/2023:21:38:45 +0900] "GET /deotsemproject/js/jq.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [10/Apr/2023:21:38:45 +0900] "GET /deotsemproject/css/footer.css HTTP/1.1" 200 2939
0:0:0:0:0:0:0:1 - - [10/Apr/2023:21:38:45 +0900] "GET /deotsemproject/css/shopbrand.css HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [10/Apr/2023:21:38:45 +0900] "GET /deotsemproject/css/notice.css HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [10/Apr/2023:21:38:45 +0900] "GET /deotsemproject/images/list_prev_btn.png HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [10/Apr/2023:21:38:45 +0900] "GET /deotsemproject/images/list_next_btn.png HTTP/1.1" 200 1245
