127.0.0.1 - - [15/Mar/2023:21:43:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/ HTTP/1.1" 200 20252
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/css/loginform.css HTTP/1.1" 200 2318
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/css/reset.css HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/css/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/css/jquery.fullPage.css HTTP/1.1" 200 4664
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/css/index_footer.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/js/jquery.min.js HTTP/1.1" 200 96385
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/css/main.css HTTP/1.1" 200 5138
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/js/jq.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/css/header.css HTTP/1.1" 200 18064
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/js/fbevents.js HTTP/1.1" 200 100868
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/js/jquery.fullPage.js HTTP/1.1" 200 112412
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/js/return.js HTTP/1.1" 200 14703
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/js/scrolloverflow.js HTTP/1.1" 200 95846
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/js/aos.js HTTP/1.1" 200 14243
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/js/rightbanner.js HTTP/1.1" 200 12572
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/js/slider.js HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/js/main.js HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/js/footer.js HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/js/header.1.js HTTP/1.1" 200 4086
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/images/logo.png HTTP/1.1" 200 1746
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:43:35 +0900] "GET /deotsemproject/images/biglogo.png HTTP/1.1" 200 6019
